step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.25,0.5061728395061729,0.52
1,After task_1,task_1,0.53,0.4362139917695473,0.6433333333333333
2,After task_2,task_2,0.5066666666666667,0.4403292181069958,0.7866666666666667
3,After task_3,task_3,0.5433333333333333,0.242798353909465,0.6699999999999999
