Step,Checkpoint,OP,BWT,Forgetting,FWT,Next task,Next-task FWT
0,Base,—,—,—,0.000 ± 0.000,task_1,0.000 ± 0.000
1,After task_1,0.533 ± 0.076,—,—,0.074 ± 0.012,task_2,0.140 ± 0.035
2,After task_2,0.670 ± 0.026,0.007 ± 0.075,-0.007 ± 0.075,0.119 ± 0.026,task_3,0.119 ± 0.026
3,After task_3,0.591 ± 0.012,0.030 ± 0.023,-0.030 ± 0.023,—,—,—
