step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.250 ± 0.000,0.506 ± 0.000,0.520 ± 0.000
1,After task_3,task_3,0.250 ± 0.000,0.214 ± 0.019,0.590 ± 0.040
2,After task_2,task_2,0.287 ± 0.055,0.165 ± 0.019,0.823 ± 0.012
3,After task_1,task_1,0.560 ± 0.020,0.156 ± 0.019,0.793 ± 0.035
