step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.25,0.5061728395061729,0.52
1,After task_3,task_3,0.25,0.21399176954732504,0.59
2,After task_2,task_2,0.2866666666666667,0.16460905349794233,0.8233333333333333
3,After task_1,task_1,0.56,0.15637860082304522,0.7933333333333333
