Step,Checkpoint,OP,BWT,Forgetting,FWT,Next task,Next-task FWT
0,Base,—,—,—,0.000 ± 0.000,task_3,0.000 ± 0.000
1,After task_3,0.214 ± 0.019,—,—,0.035 ± 0.020,task_2,0.070 ± 0.040
2,After task_2,0.494 ± 0.004,-0.049 ± 0.012,0.049 ± 0.012,0.037 ± 0.055,task_1,0.037 ± 0.055
3,After task_1,0.503 ± 0.012,-0.044 ± 0.010,0.044 ± 0.010,—,—,—
