Step,Checkpoint,Current task,Current accuracy,Δ current vs base,Average over all tasks
0,Base,—,—,—,0.425 ± 0.000
1,After task_3,task_3,0.214 ± 0.019,-0.292 ± 0.019,0.351 ± 0.013
2,After task_2,task_2,0.823 ± 0.012,0.303 ± 0.012,0.425 ± 0.020
3,After task_1,task_1,0.560 ± 0.020,0.310 ± 0.020,0.503 ± 0.012
