step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,1.883574604988098,0.0,3,3.603475570678711,0.0,3,0.130217432975769,0.0,3,2.2096354961395264,0.0,3,9.73436450958252,0.0,3,0.125,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_1,After task_1,3,48,1.6434985001881917,0.0022247170939984056,3,3.7444686889648438,0.02916158658823099,3,0.11535330365101493,0.00783553084281898,3,2.0451388359069824,0.03071191187892064,3,10.024988174438477,0.08118988160479113,3,0.2666666805744171,0.12268694424726156,3,0.19859216113885245,0.012990707527675914,3,0.8749709129333496,0.06356880979009928,3,0.0001778104973103,7.838053764613737e-05,3,-0.24007610479990618,0.0022247170939984056,3,0.1409931182861328,0.02916158658823099,3,-0.16449666023254395,0.03071191187892064,3,0.29062366485595703,0.08118988160479113,3,0.19859216113885245,0.012990707527675914,3,0.8749709129333496,0.06356880979009928,3
2,task_2,After task_2,3,48,1.6030664841334026,0.01764535166234789,3,3.6473353703816733,0.065563590622712,3,0.05943961068987841,0.0072143287690231445,3,2.2825520833333335,0.04562876549013921,3,10.77082093556722,0.3593268829467313,3,0.16666666169961294,0.07216877504551379,3,0.25796773036320997,0.007207854026173686,3,0.9598466157913208,0.05143041604198047,3,0.0011120506096631,0.0004608122988059793,3,-0.2805081208546955,0.01764535166234789,3,0.04385979970296209,0.065563590622712,3,0.07291658719380696,0.04562876549013921,3,1.0364564259847011,0.3593268829467313,3,0.25796773036320997,0.007207854026173686,3,0.9598466157913208,0.05143041604198047,3
3,task_3,After task_3,3,48,1.8865323066711426,0.033976514872254907,3,5.026160717010498,0.08980066745268624,3,0.08885550747315087,0.0012462963910208377,3,2.32421875,0.05284277054089329,3,9.631239573160807,0.14617559415202702,3,0.45000003774960834,0.02165060584377206,3,0.6299076875050863,0.10997803453166839,3,1.7505186398824055,0.35148626817738154,3,0.007498292718082634,0.002581460810210464,3,0.0029577016830446556,0.033976514872254907,3,1.4226851463317873,0.08980066745268624,3,0.11458325386047363,0.05284277054089329,3,-0.10312493642171343,0.14617559415202702,3,0.6299076875050863,0.10997803453166839,3,1.7505186398824055,0.35148626817738154,3
