step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,0.8944809436798096,0.0,3,2.378711700439453,0.0,3,0.0018280018121004,0.0,3,4.319010257720947,0.0,3,10.36249828338623,0.0,3,0.375,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_1,After task_1,3,48,1.0828005075454712,0.041313555500716484,3,2.2501896222432456,0.08880091451444316,3,0.09310158838828397,0.03180833632908884,3,2.4166666666666665,0.11509273421576008,3,7.84583314259847,0.09240341870751827,3,0.25,0.0,3,1.107966701189677,0.04883591696225903,3,6.370105902353923,0.2993033249006117,3,0.0013674956668788332,0.0002276823667745808,3,0.18831956386566162,0.041313555500716484,3,-0.12852207819620767,0.08880091451444315,3,-1.9023435910542805,0.11509273421576008,3,-2.5166651407877603,0.09240341870751827,3,1.107966701189677,0.04883591696225903,3,6.370105902353923,0.2993033249006117,3
2,task_2,After task_2,3,48,1.2268235683441162,0.03463338450369825,3,2.350949843724569,0.07940225520318157,3,0.11638205746809638,0.04315604670164724,3,2.096788167953491,0.06549794925952634,3,7.5520830154418945,0.12563642294924676,3,0.1125000069538752,0.02165061014536295,3,1.2287506659825642,0.05746868909248779,3,5.208115895589192,0.39033002596951544,3,0.0032057068310677333,0.0006675801070908261,3,0.33234262466430664,0.03463338450369825,3,-0.027761856714884292,0.07940225520318157,3,-2.222222089767456,0.06549794925952634,3,-2.810415267944336,0.12563642294924676,3,1.2287506659825642,0.05746868909248779,3,5.208115895589192,0.39033002596951544,3
3,task_3,After task_3,3,48,1.61928129196167,0.1035327191393887,3,3.1714533964792886,0.8196610968385708,3,0.15769357979297638,0.016349994536447303,3,1.82421875,0.07416158002384615,3,6.792707443237305,0.10575877309115389,3,0.11875000596046448,0.010825307223478188,3,1.6234455108642578,0.15674323009441632,3,6.10226043065389,0.4559510660639319,3,0.019066227289537534,0.0044504326563551905,3,0.7248003482818604,0.1035327191393887,3,0.7927416960398356,0.8196610968385708,3,-2.4947915077209473,0.07416158002384615,3,-3.569790840148926,0.10575877309115389,3,1.6234455108642578,0.15674323009441632,3,6.10226043065389,0.4559510660639319,3
