,model,step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa,fomc_std,scienceqa_std,numgluecm_std,entropy_mean,margin_mean,kl_to_base_mean,entropy_mean_std,margin_mean_std,kl_to_base_mean_std,Current task,curr_accuracy,curr_accuracy_std,delta_curr_vs_base,delta_curr_vs_base_std,avg_over_all_tasks,avg_over_all_tasks_std,next_task,op,op_std,bwt,bwt_std,fwt,fwt_std
0,qwen,0,Base,base,0.250,0.370,0.520,0.000,0.000,0.000,2.031,1.965,0.000,0.000,0.000,0.000,—,—,,—,,0.380,0.000,task_1,—,,—,,0.000,0.000
1,qwen,1,After task_1,task_1,0.533,0.379,0.660,0.076,0.035,0.019,1.897,1.849,0.156,0.044,0.152,0.077,task_1,0.533,0.076,0.283,0.076,0.524,0.029,task_2,0.533,0.076,—,,0.074,0.012
2,qwen,2,After task_2,task_2,0.540,0.490,0.800,0.053,0.000,0.026,1.810,1.918,0.112,0.023,0.081,0.030,task_2,0.800,0.000,0.280,0.000,0.610,0.012,task_3,0.670,0.026,0.007,0.075,0.119,0.026
3,qwen,3,After task_3,task_3,0.577,0.379,0.817,0.042,0.006,0.056,1.819,1.778,0.300,0.011,0.077,0.117,task_3,0.379,0.056,0.008,0.056,0.591,0.012,—,0.591,0.012,0.030,0.023,—,
0,gemma,0,Base,base,0.220,0.370,0.620,0.000,0.000,0.000,0.894,4.319,0.000,0.000,0.000,0.000,—,—,,—,,0.403,0.000,task_1,—,,—,,0.000,0.000
1,gemma,1,After task_1,task_1,0.547,0.362,0.657,0.012,0.025,0.019,1.083,2.417,1.108,0.041,0.115,0.049,task_1,0.547,0.012,0.327,0.012,0.522,0.011,task_2,0.547,0.012,—,,0.014,0.014
2,gemma,2,After task_2,task_2,0.310,0.342,0.663,0.060,0.061,0.019,1.227,2.097,1.229,0.035,0.065,0.057,task_2,0.663,0.061,0.043,0.061,0.438,0.041,task_3,0.487,0.055,-0.237,0.050,-0.029,0.019
3,gemma,3,After task_3,task_3,0.250,0.136,0.573,0.010,0.091,0.021,1.619,1.824,1.623,0.104,0.074,0.157,task_3,0.136,0.021,-0.235,0.021,0.320,0.029,—,0.320,0.029,-0.193,0.010,—,
0,llama,0,Base,base,0.250,0.506,0.520,0.000,0.000,0.000,1.884,2.210,0.000,0.000,0.000,0.000,—,—,,—,,0.425,0.000,task_1,—,,—,,0.000,0.000
1,llama,1,After task_1,task_1,0.530,0.436,0.643,0.000,0.057,0.014,1.643,2.045,0.199,0.002,0.031,0.013,task_1,0.530,0.000,0.280,0.000,0.537,0.018,task_2,0.530,0.000,—,,0.027,0.028
2,llama,2,After task_2,task_2,0.507,0.440,0.787,0.021,0.012,0.019,1.603,2.283,0.258,0.018,0.046,0.007,task_2,0.787,0.012,0.267,0.012,0.578,0.004,task_3,0.647,0.008,-0.023,0.021,-0.066,0.019
3,llama,3,After task_3,task_3,0.543,0.243,0.670,0.012,0.040,0.040,1.887,2.324,0.630,0.034,0.053,0.110,task_3,0.243,0.040,-0.263,0.040,0.485,0.016,—,0.485,0.016,-0.052,0.012,—,
