Step,Checkpoint,OP,BWT,Forgetting,FWT,Next task,Next-task FWT
0,Base,—,—,—,0.000 ± 0.000,task_1,0.000 ± 0.000
1,After task_1,0.547 ± 0.012,—,—,0.014 ± 0.014,task_2,0.037 ± 0.025
2,After task_2,0.487 ± 0.055,-0.237 ± 0.050,0.237 ± 0.050,-0.029 ± 0.019,task_3,-0.029 ± 0.019
3,After task_3,0.320 ± 0.029,-0.193 ± 0.010,0.193 ± 0.010,—,—,—
