step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.22,0.3703703703703703,0.62
1,After task_1,task_1,0.5466666666666667,0.3621399176954732,0.6566666666666667
2,After task_2,task_2,0.31,0.3415637860082304,0.6633333333333333
3,After task_3,task_3,0.25,0.13580246913580243,0.5733333333333334
