step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,0.118 ± 0.000,0.730 ± 0.000,8.318 ± 0.000,13.575 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,0.683 ± 0.057,1.137 ± 0.042,1.835 ± 0.190,4.937 ± 0.133,3.019 ± 0.051,6.960 ± 0.518
2,After task_2,0.957 ± 0.039,1.264 ± 0.051,0.646 ± 0.075,1.873 ± 0.166,3.683 ± 0.237,6.639 ± 0.788
3,After task_3,1.659 ± 0.132,2.266 ± 0.215,0.523 ± 0.103,1.331 ± 0.041,8.022 ± 0.243,22.138 ± 0.685
