step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,0.565 ± 0.057,0.407 ± 0.042,-6.483 ± 0.190,-8.637 ± 0.133,3.019 ± 0.051
2,After task_2,0.838 ± 0.039,0.534 ± 0.051,-7.672 ± 0.075,-11.702 ± 0.166,3.683 ± 0.237
3,After task_3,1.541 ± 0.132,1.536 ± 0.215,-7.795 ± 0.103,-12.244 ± 0.041,8.022 ± 0.243
