seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,0.118277259171009,0.7300074696540833,0.0001515443145763,8.317708015441895,13.57499885559082,1.9250000715255735,0.0,0.0,0.0,outputs/gemma3_1b_paper/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_1,48,0.6226161122322083,1.1049408912658691,0.0793425366282463,2.0442707538604736,5.081249713897705,0.4625000059604645,2.9614744186401367,7.536099433898926,0.0448504388332366,outputs/gemma3_1b_paper/stability_seed_33/stability_scores.csv,After task_1,0.5043388530611993,0.3749334216117859,-6.273437261581421,-8.493749141693115,2.9614744186401367,7.536099433898926
33,2,task_2,48,0.9128918647766112,1.2112107276916504,0.5922887325286865,0.6328125,1.8750001192092896,0.1249999403953552,3.441765785217285,5.905523777008057,0.1090143620967865,outputs/gemma3_1b_paper/stability_seed_33/stability_scores.csv,After task_2,0.7946146056056023,0.48120325803756714,-7.6848955154418945,-11.69999873638153,3.441765785217285,5.905523777008057
33,3,task_3,48,1.5292798280715942,2.1237449645996094,0.953199028968811,0.4322916567325592,1.2906248569488523,0.0625,7.74229097366333,22.08940887451172,3.0245072841644287,outputs/gemma3_1b_paper/stability_seed_33/stability_scores.csv,After task_3,1.4110025689005852,1.3937374949455261,-7.885416358709335,-12.284373998641968,7.74229097366333,22.08940887451172
42,0,base,48,0.118277259171009,0.7300074696540833,0.0001515443145763,8.317708015441895,13.57499885559082,1.9250000715255735,0.0,0.0,0.0,outputs/gemma3_1b_paper/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_1,48,0.6916561126708984,1.1210979223251345,0.1338738650083542,1.7890625,4.91249942779541,0.5000000596046448,3.0393145084381104,6.531343936920166,0.0449539348483085,outputs/gemma3_1b_paper/stability_seed_42/stability_scores.csv,After task_1,0.5733788534998895,0.39109045267105125,-6.5286455154418945,-8.66249942779541,3.0393145084381104,6.531343936920166
42,2,task_2,48,0.9695346355438232,1.270034670829773,0.5927973389625549,0.7265625,2.03749942779541,0.0875000357627868,3.9162673950195312,7.471704483032227,0.093669094145298,outputs/gemma3_1b_paper/stability_seed_42/stability_scores.csv,After task_2,0.8512573763728143,0.5400272011756897,-7.5911455154418945,-11.53749942779541,3.9162673950195312,7.471704483032227
42,3,task_3,48,1.653836727142334,2.161411762237549,1.0523792505264282,0.6354166865348816,1.331249713897705,0.2312500178813934,8.169827461242676,21.47871208190918,2.5323872566223145,outputs/gemma3_1b_paper/stability_seed_42/stability_scores.csv,After task_3,1.535559467971325,1.4314042925834656,-7.682291328907013,-12.243749141693115,8.169827461242676,21.47871208190918
123,0,base,48,0.118277259171009,0.7300074696540833,0.0001515443145763,8.317708015441895,13.57499885559082,1.9250000715255735,0.0,0.0,0.0,outputs/gemma3_1b_paper/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_1,48,0.7358548641204834,1.1843184232711792,0.2016387730836868,1.671875,4.818747997283936,0.3375000357627868,3.0563228130340576,6.811728477478027,0.0583235174417495,outputs/gemma3_1b_paper/stability_seed_123/stability_scores.csv,After task_1,0.6175776049494744,0.45431095361709595,-6.6458330154418945,-8.756250858306885,3.0563228130340576,6.811728477478027
123,2,task_2,48,0.9874617457389832,1.3118404150009155,0.6462364792823792,0.578125,1.706249713897705,0.0,3.690238237380981,6.53944730758667,0.1510480642318725,outputs/gemma3_1b_paper/stability_seed_123/stability_scores.csv,After task_2,0.8691844865679742,0.5818329453468323,-7.7395830154418945,-11.868749141693115,3.690238237380981,6.53944730758667
123,3,task_3,48,1.7938709259033203,2.514152765274048,1.1397587060928345,0.5013020634651184,1.3718745708465576,0.0437500178813934,8.154727935791016,22.84526252746582,2.9945545196533203,outputs/gemma3_1b_paper/stability_seed_123/stability_scores.csv,After task_3,1.6755936667323112,1.7841452956199646,-7.816405951976776,-12.203124284744263,8.154727935791016,22.84526252746582
