step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,0.434 ± 0.009,1.268 ± 0.070,-0.326 ± 0.021,0.469 ± 0.125,0.277 ± 0.005
2,After task_2,0.055 ± 0.042,0.917 ± 0.148,-0.092 ± 0.063,0.322 ± 0.263,0.421 ± 0.040
3,After task_1,0.075 ± 0.040,1.051 ± 0.279,-0.220 ± 0.040,0.186 ± 0.045,0.517 ± 0.060
