step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.884 ± 0.000,3.603 ± 0.000,2.210 ± 0.000,9.734 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,2.318 ± 0.009,4.871 ± 0.070,1.884 ± 0.021,10.203 ± 0.125,0.277 ± 0.005,0.975 ± 0.053
2,After task_2,1.938 ± 0.042,4.521 ± 0.148,2.117 ± 0.063,10.056 ± 0.263,0.421 ± 0.040,1.633 ± 0.172
3,After task_1,1.958 ± 0.040,4.654 ± 0.279,1.989 ± 0.040,9.921 ± 0.045,0.517 ± 0.060,1.598 ± 0.427
