step,checkpoint_task,checkpoint,current_task,next_task,n_seeds,op_mean,op_std,op_count,bwt_mean,bwt_std,bwt_count,forgetting_mean,forgetting_std,forgetting_count,fwt_mean,fwt_std,fwt_count,next_fwt_mean,next_fwt_std,next_fwt_count,avg_all_tasks_mean,avg_all_tasks_std,avg_all_tasks_count,current_acc_mean,current_acc_std,current_acc_count,current_base_acc_mean,current_base_acc_std,current_base_acc_count,current_prev_acc_mean,current_prev_acc_std,current_prev_acc_count,current_delta_vs_base_mean,current_delta_vs_base_std,current_delta_vs_base_count,adaptation_gain_mean,adaptation_gain_std,adaptation_gain_count,learning_accuracy_mean,learning_accuracy_std,learning_accuracy_count
0,base,Base,,task_1,3,,,0,,,0,,,0,0.0,0.0,3,0.0,0.0,3,0.40345679012345675,0.0,3,,,0,,,0,,,0,,,0,,,0,0.44860082304526744,0.026662474902980033,3
1,task_1,After task_1,task_1,task_2,3,0.5466666666666667,0.011547005383792525,3,,,0,,,0,0.0142181069958848,0.01399293447099234,3,0.0366666666666667,0.025166114784235853,3,0.5218244170096021,0.010821741251563165,3,0.5466666666666667,0.011547005383792525,3,0.22,0.0,3,0.22,0.0,3,0.3266666666666667,0.011547005383792526,3,0.3266666666666667,0.011547005383792526,3,0.44860082304526744,0.026662474902980033,3
2,task_2,After task_2,task_2,task_3,3,0.48666666666666664,0.05507570547286105,3,-0.23666666666666672,0.05033222956847165,3,0.23666666666666672,0.05033222956847165,3,-0.028806584362139898,0.018858336193233915,3,-0.028806584362139898,0.018858336193233915,3,0.43829903978052126,0.0413247687545111,3,0.6633333333333332,0.061101009266077866,3,0.62,0.0,3,0.6566666666666667,0.025166114784235853,3,0.043333333333333335,0.06110100926607786,3,0.006666666666666636,0.03785938897200179,3,0.44860082304526744,0.026662474902980033,3
3,task_3,After task_3,task_3,,3,0.3197119341563786,0.029465681533842412,3,-0.19333333333333336,0.010408329997330672,3,0.19333333333333336,0.010408329997330672,3,,,0,,,0,0.3197119341563786,0.029465681533842412,3,0.13580246913580243,0.021383343303319455,3,0.3703703703703703,0.0,3,0.3415637860082304,0.018858336193233915,3,-0.23456790123456783,0.021383343303319455,3,-0.20576131687242794,0.031069277511402274,3,0.44860082304526744,0.026662474902980033,3
