step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,2.031 ± 0.000,4.950 ± 0.000,1.965 ± 0.000,9.850 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,1.897 ± 0.044,4.945 ± 0.054,1.849 ± 0.152,6.502 ± 0.308,0.156 ± 0.077,0.814 ± 0.488
2,After task_2,1.810 ± 0.023,4.748 ± 0.062,1.918 ± 0.081,6.167 ± 0.879,0.112 ± 0.030,0.449 ± 0.167
3,After task_3,1.819 ± 0.011,4.929 ± 0.070,1.778 ± 0.077,5.741 ± 0.099,0.300 ± 0.117,0.659 ± 0.260
