step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,2.031415700912476,0.0,3,4.95022439956665,0.0,3,0.4413862228393554,0.0,3,1.96484375,0.0,3,9.849985122680664,0.0,3,0.21250005066394798,3.3993498887762956e-17,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_1,After task_1,3,48,1.8970873753229778,0.044434516424647665,3,4.945426146189372,0.05408527001654032,3,0.31365421414375305,0.119613396223812,3,1.8493923743565877,0.15187191240995246,3,6.502079804738362,0.3076064522317079,3,0.125,0.0,3,0.1555282274881998,0.07742777504818657,3,0.8138747413953146,0.48762387365296755,3,0.0013201152129719335,0.00035681264859312655,3,-0.13432832558949834,0.044434516424647665,3,-0.0047982533772786455,0.054085270016540316,3,-0.11545137564341228,0.15187191240995246,3,-3.3479053179423013,0.3076064522317079,3,0.1555282274881998,0.07742777504818657,3,0.8138747413953146,0.48762387365296755,3
2,task_2,After task_2,3,48,1.809971531232198,0.02337655421417276,3,4.748054186503093,0.061584830693512074,3,0.207952340443929,0.04871753963274964,3,1.9184027910232544,0.0811306806991161,3,6.166662851969401,0.878948698700474,3,0.125,0.0,3,0.11159043262402213,0.029977828111781145,3,0.4485712945461273,0.16737173960302457,3,0.0030693051715691335,0.0006066689024954299,3,-0.22144416968027789,0.02337655421417276,3,-0.20217021306355795,0.061584830693512074,3,-0.046440958976745605,0.0811306806991161,3,-3.683322270711263,0.878948698700474,3,0.11159043262402213,0.029977828111781145,3,0.4485712945461273,0.16737173960302457,3
3,task_3,After task_3,3,48,1.819048285484314,0.011305520503557969,3,4.929437478383382,0.06965787474780455,3,0.3569437563419342,0.06791331012588243,3,1.7777777512868245,0.07700295665467875,3,5.740622679392497,0.09926385680735382,3,0.12499999503294627,8.60318942650595e-09,3,0.29985727369785303,0.11707401737054732,3,0.6590217550595602,0.25963595871296136,3,0.0054353457720329,0.0019343395946087461,3,-0.21236741542816198,0.011305520503557967,3,-0.02078692118326823,0.06965787474780454,3,-0.18706599871317545,0.07700295665467875,3,-4.109362443288167,0.09926385680735382,3,0.29985727369785303,0.11707401737054732,3,0.6590217550595602,0.25963595871296136,3
