step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,-0.196 ± 0.031,0.068 ± 0.262,-0.302 ± 0.062,-4.305 ± 0.953,0.128 ± 0.015
2,After task_2,-0.283 ± 0.027,0.238 ± 0.182,-0.073 ± 0.089,-4.239 ± 0.441,0.160 ± 0.039
3,After task_1,-0.392 ± 0.060,0.279 ± 0.205,0.246 ± 0.186,-3.326 ± 0.539,0.276 ± 0.061
