Step,Checkpoint,OP,BWT,Forgetting,FWT,Next task,Next-task FWT
0,Base,—,—,—,0.000 ± 0.000,task_1,0.000 ± 0.000
1,After task_1,0.530 ± 0.000,—,—,0.027 ± 0.028,task_2,0.123 ± 0.057
2,After task_2,0.647 ± 0.008,-0.023 ± 0.021,0.023 ± 0.021,-0.066 ± 0.019,task_3,-0.066 ± 0.019
3,After task_3,0.485 ± 0.016,-0.052 ± 0.012,0.052 ± 0.012,—,—,—
