step,checkpoint_task,checkpoint,current_task,next_task,n_seeds,op_mean,op_std,op_count,bwt_mean,bwt_std,bwt_count,forgetting_mean,forgetting_std,forgetting_count,fwt_mean,fwt_std,fwt_count,next_fwt_mean,next_fwt_std,next_fwt_count,avg_all_tasks_mean,avg_all_tasks_std,avg_all_tasks_count,current_acc_mean,current_acc_std,current_acc_count,current_base_acc_mean,current_base_acc_std,current_base_acc_count,current_prev_acc_mean,current_prev_acc_std,current_prev_acc_count,current_delta_vs_base_mean,current_delta_vs_base_std,current_delta_vs_base_count,adaptation_gain_mean,adaptation_gain_std,adaptation_gain_count,learning_accuracy_mean,learning_accuracy_std,learning_accuracy_count
0,base,Base,,task_1,3,,,0,,,0,,,0,0.0,0.0,3,0.0,0.0,3,0.4253909465020576,0.0,3,,,0,,,0,,,0,,,0,,,0,0.5198216735253771,0.015931897378669613,3
1,task_1,After task_1,task_1,task_2,3,0.53,0.0,3,,,0,,,0,0.026687242798353855,0.027500144332755966,3,0.1233333333333333,0.05686240703077327,3,0.5365157750342936,0.018333429555170627,3,0.53,0.0,3,0.25,0.0,3,0.25,0.0,3,0.28,0.0,3,0.28,0.0,3,0.5198216735253771,0.015931897378669613,3
2,task_2,After task_2,task_2,task_3,3,0.6466666666666666,0.00763762615825974,3,-0.023333333333333355,0.020816659994661344,3,0.023333333333333355,0.020816659994661344,3,-0.06584362139917703,0.01885833619323394,3,-0.06584362139917703,0.01885833619323394,3,0.5778875171467764,0.0038915189863632303,3,0.7866666666666667,0.011547005383792525,3,0.52,0.0,3,0.6433333333333334,0.05686240703077327,3,0.26666666666666666,0.011547005383792526,3,0.1433333333333334,0.06806859285554047,3,0.5198216735253771,0.015931897378669613,3
3,task_3,After task_3,task_3,,3,0.4853772290809328,0.016418119978881013,3,-0.05166666666666667,0.011547005383792509,3,0.05166666666666667,0.011547005383792509,3,,,0,,,0,0.4853772290809328,0.016418119978881013,3,0.242798353909465,0.03968580560079407,3,0.5061728395061729,0.0,3,0.4403292181069958,0.01885833619323394,3,-0.2633744855967079,0.03968580560079407,3,-0.19753086419753085,0.021383343303319455,3,0.5198216735253771,0.015931897378669613,3
