step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,0.364 ± 0.042,0.751 ± 0.472,-1.485 ± 0.076,-3.704 ± 0.052,0.703 ± 0.039
2,After task_2,0.618 ± 0.120,2.084 ± 0.429,-2.295 ± 0.137,-3.791 ± 0.103,1.025 ± 0.164
3,After task_1,0.655 ± 0.127,1.698 ± 0.353,-2.480 ± 0.175,-3.711 ± 0.115,1.671 ± 0.051
