step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,0.8944809436798096,0.0,3,2.378711700439453,0.0,3,0.0018280018121004,0.0,3,4.319010257720947,0.0,3,10.36249828338623,0.0,3,0.375,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_3,After task_3,3,48,1.2589370409647624,0.04223693085603722,3,3.1295512517293296,0.4721459755728779,3,0.09846150130033487,0.013484090222282242,3,2.8337674140930176,0.07632840046819298,3,6.658332983652751,0.05194778414933401,3,0.2875000238418579,0.05962116978447762,3,0.7027084628740946,0.03869543348352963,3,5.520968437194824,0.4636827003630544,3,0.007475947650770334,0.0015725841487783546,3,0.3644560972849529,0.04223693085603722,3,0.7508395512898763,0.47214597557287785,3,-1.4852428436279297,0.07632840046819298,3,-3.70416529973348,0.051947784149334014,3,0.7027084628740946,0.03869543348352963,3,5.520968437194824,0.4636827003630544,3
2,task_2,After task_2,3,48,1.51204248269399,0.11990412795015627,3,4.463091691335042,0.42893346428719314,3,0.17961499591668448,0.04925460361309265,3,2.024305542310079,0.1370737263000152,3,6.571874300638835,0.10326713246317379,3,0.16666666666666666,0.036084391824351615,3,1.0247859756151836,0.16423607271961102,3,5.537594000498454,0.9835847082493541,3,0.023840648432572636,0.005490639829158664,3,0.6175615390141805,0.11990412795015627,3,2.0843799908955893,0.42893346428719314,3,-2.294704715410868,0.1370737263000152,3,-3.790623982747396,0.10326713246317379,3,1.0247859756151836,0.16423607271961102,3,5.537594000498454,0.9835847082493541,3
3,task_1,After task_1,3,48,1.5497242609659831,0.1274189956290762,3,4.076463063557942,0.35298836781560816,3,0.17372143268585202,0.06218808897255816,3,1.8385417064030964,0.17514351908833461,3,6.651041348775228,0.11508881508251288,3,0.16666666169961294,0.07216877504551379,3,1.670669158299764,0.05090309563047954,3,6.834086100260417,0.2872097623080436,3,0.026007893184820732,0.012989437657502153,3,0.6552433172861735,0.12741899562907621,3,1.6977513631184895,0.35298836781560816,3,-2.4804685513178506,0.17514351908833461,3,-3.7114569346110025,0.11508881508251288,3,1.670669158299764,0.05090309563047954,3,6.834086100260417,0.2872097623080436,3
