step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,1.061198592185974,0.0,3,1.5025477409362793,0.0,3,0.18565401434898368,3.3993498887762956e-17,3,1.6927083730697632,0.0,3,4.91249942779541,0.0,3,0.375,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_1,After task_1,3,48,0.7573947906494141,0.12220705574611973,3,1.1371406316757202,0.023460169739125316,3,0.15973941981792447,0.03289339283132326,3,1.5243055423100789,0.37867427290532646,3,4.5229159990946455,0.10389534838107056,3,0.125,0.0,3,0.4692965845266978,0.23169187101283908,3,1.061110496520996,0.5079741979770807,3,0.0257080799589554,0.010528424320817919,3,-0.30380380153655984,0.12220705574611973,3,-0.36540710926055914,0.023460169739125313,3,-0.16840283075968424,0.37867427290532646,3,-0.38958342870076496,0.10389534838107056,3,0.4692965845266978,0.23169187101283908,3,1.061110496520996,0.5079741979770807,3
2,task_2,After task_2,3,48,0.6471686561902364,0.07055431184907132,3,1.086875319480896,0.02029684713963385,3,0.12528286129236219,0.054572724384311454,3,1.6319444179534912,0.34404904109162393,3,4.8562493324279785,0.8130527604110998,3,0.20833336313565573,0.07216880945827303,3,0.37115319569905597,0.044846852971308276,3,1.0395203828811646,0.13108869390350564,3,0.06448402504126227,0.03243799174327508,3,-0.4140299359957375,0.07055431184907132,3,-0.4156724214553833,0.02029684713963385,3,-0.06076395511627197,0.34404904109162393,3,-0.05625009536743164,0.8130527604110998,3,0.37115319569905597,0.044846852971308276,3,1.0395203828811646,0.13108869390350564,3
3,task_3,After task_3,3,48,0.902713398138682,0.034354293923039916,3,1.8154245217641194,0.07770602746209956,3,0.31747840841611225,0.0883068779365307,3,1.154513915379842,0.12678665538755096,3,3.435415426890055,0.6782413116311122,3,0.1541666636864344,0.08508574457204811,3,3.2690487702687583,0.07058827183884428,3,18.147937138875324,0.38333234604975985,3,0.15542517602443692,0.022437135243576496,3,-0.15848519404729186,0.03435429392303991,3,0.31287678082784004,0.07770602746209956,3,-0.538194457689921,0.12678665538755096,3,-1.4770840009053547,0.6782413116311123,3,3.2690487702687583,0.07058827183884428,3,18.147937138875324,0.38333234604975985,3
