step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,-0.304 ± 0.122,-0.365 ± 0.023,-0.168 ± 0.379,-0.390 ± 0.104,0.469 ± 0.232
2,After task_2,-0.414 ± 0.071,-0.416 ± 0.020,-0.061 ± 0.344,-0.056 ± 0.813,0.371 ± 0.045
3,After task_3,-0.158 ± 0.034,0.313 ± 0.078,-0.538 ± 0.127,-1.477 ± 0.678,3.269 ± 0.071
