step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.061 ± 0.000,1.503 ± 0.000,1.693 ± 0.000,4.912 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,0.757 ± 0.122,1.137 ± 0.023,1.524 ± 0.379,4.523 ± 0.104,0.469 ± 0.232,1.061 ± 0.508
2,After task_2,0.647 ± 0.071,1.087 ± 0.020,1.632 ± 0.344,4.856 ± 0.813,0.371 ± 0.045,1.040 ± 0.131
3,After task_3,0.903 ± 0.034,1.815 ± 0.078,1.155 ± 0.127,3.435 ± 0.678,3.269 ± 0.071,18.148 ± 0.383
