step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,0.188 ± 0.041,-0.129 ± 0.089,-1.902 ± 0.115,-2.517 ± 0.092,1.108 ± 0.049
2,After task_2,0.332 ± 0.035,-0.028 ± 0.079,-2.222 ± 0.065,-2.810 ± 0.126,1.229 ± 0.057
3,After task_3,0.725 ± 0.104,0.793 ± 0.820,-2.495 ± 0.074,-3.570 ± 0.106,1.623 ± 0.157
