step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,0.894 ± 0.000,2.379 ± 0.000,4.319 ± 0.000,10.362 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,1.083 ± 0.041,2.250 ± 0.089,2.417 ± 0.115,7.846 ± 0.092,1.108 ± 0.049,6.370 ± 0.299
2,After task_2,1.227 ± 0.035,2.351 ± 0.079,2.097 ± 0.065,7.552 ± 0.126,1.229 ± 0.057,5.208 ± 0.390
3,After task_3,1.619 ± 0.104,3.171 ± 0.820,1.824 ± 0.074,6.793 ± 0.106,1.623 ± 0.157,6.102 ± 0.456
