step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,1.883574604988098,0.0,3,3.603475570678711,0.0,3,0.130217432975769,0.0,3,2.2096354961395264,0.0,3,9.73436450958252,0.0,3,0.125,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_3,After task_3,3,48,2.3179238637288413,0.009002766020152085,3,4.8711311022440595,0.06992724416619239,3,0.33312165737152094,0.020572522813380782,3,1.8836805423100789,0.021487663640332586,3,10.203110059102377,0.12484327504843383,3,0.15416668852170307,0.05051818640812569,3,0.2772999306519826,0.0050905462963720905,3,0.9749129811922709,0.05338337526857121,3,0.008229184119651666,0.0007952463521703988,3,0.43434925874074337,0.009002766020152085,3,1.2676555315653484,0.06992724416619239,3,-0.32595495382944745,0.021487663640332586,3,0.46874554951985675,0.12484327504843383,3,0.2772999306519826,0.0050905462963720905,3,0.9749129811922709,0.05338337526857121,3
2,task_2,After task_2,3,48,1.9381262858708699,0.04187553151367401,3,4.520771026611328,0.14779538169726072,3,0.10566235085328418,0.028955427899163885,3,2.11718757947286,0.06314768569261532,3,10.056238810221354,0.2627247710988669,3,0.2083333283662796,0.07216877934710889,3,0.42144537965456635,0.03996784326914773,3,1.632528026898702,0.17160108515756278,3,0.0074558365158736,0.0009395935438819127,3,0.05455168088277196,0.04187553151367401,3,0.9172954559326172,0.14779538169726072,3,-0.09244791666666667,0.06314768569261532,3,0.32187430063883404,0.2627247710988669,3,0.42144537965456635,0.03996784326914773,3,1.632528026898702,0.17160108515756278,3
3,task_1,After task_1,3,48,1.958239197731018,0.03967643795819743,3,4.654176712036133,0.2788075232191496,3,0.1784651602307955,0.07647404066200245,3,1.9891492923100789,0.040224284187879836,3,9.920820871988932,0.04521307725900174,3,0.27916666865348816,0.05051815199536803,3,0.5169803102811178,0.05996586039845866,3,1.597756822903951,0.42651694329266565,3,0.0097140821938713,0.0016565740852310744,3,0.07466459274292021,0.03967643795819743,3,1.0507011413574219,0.2788075232191496,3,-0.22048620382944742,0.040224284187879836,3,0.18645636240641275,0.04521307725900175,3,0.5169803102811178,0.05996586039845866,3,1.597756822903951,0.42651694329266565,3
