Step,Checkpoint,Current task,"a_k,k","a_k-1,k",Δ adapt,Δ vs base
1,After task_3,task_3,0.095 ± 0.026,0.370 ± 0.000,-0.276 ± 0.026,-0.276 ± 0.026
2,After task_2,task_2,0.677 ± 0.047,0.653 ± 0.006,0.023 ± 0.042,0.057 ± 0.047
3,After task_1,task_1,0.483 ± 0.060,0.220 ± 0.000,0.263 ± 0.060,0.263 ± 0.060
