step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.22,0.3703703703703703,0.62
1,After task_3,task_3,0.22,0.09465020576131682,0.6533333333333333
2,After task_2,task_2,0.22,0.09876543209876541,0.6766666666666667
3,After task_1,task_1,0.48333333333333334,0.09053497942386823,0.6466666666666666
