Step,Checkpoint,Current task,Current accuracy,Δ current vs base,Average over all tasks
0,Base,—,—,—,0.403 ± 0.000
1,After task_3,task_3,0.095 ± 0.026,-0.276 ± 0.026,0.323 ± 0.010
2,After task_2,task_2,0.677 ± 0.047,0.057 ± 0.047,0.332 ± 0.015
3,After task_1,task_1,0.483 ± 0.060,0.263 ± 0.060,0.407 ± 0.029
