step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.220 ± 0.000,0.370 ± 0.000,0.620 ± 0.000
1,After task_3,task_3,0.220 ± 0.000,0.095 ± 0.026,0.653 ± 0.006
2,After task_2,task_2,0.220 ± 0.000,0.099 ± 0.012,0.677 ± 0.047
3,After task_1,task_1,0.483 ± 0.060,0.091 ± 0.031,0.647 ± 0.059
