Step,Checkpoint,OP,BWT,Forgetting,FWT,Next task,Next-task FWT
0,Base,—,—,—,0.000 ± 0.000,task_3,0.000 ± 0.000
1,After task_3,0.095 ± 0.026,—,—,0.017 ± 0.003,task_2,0.033 ± 0.006
2,After task_2,0.388 ± 0.023,0.004 ± 0.031,-0.004 ± 0.031,0.000 ± 0.000,task_1,0.000 ± 0.000
3,After task_1,0.407 ± 0.029,-0.017 ± 0.028,0.017 ± 0.028,—,—,—
