step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.25,0.3703703703703703,0.52
1,After task_3,task_3,0.2866666666666667,0.18518518518518515,0.6933333333333334
2,After task_2,task_2,0.2866666666666667,0.23456790123456786,0.8166666666666668
3,After task_1,task_1,0.62,0.25514403292181065,0.82
