Step,Checkpoint,Current task,"a_k,k","a_k-1,k",Δ adapt,Δ vs base
1,After task_3,task_3,0.185 ± 0.098,0.370 ± 0.000,-0.185 ± 0.098,-0.185 ± 0.098
2,After task_2,task_2,0.817 ± 0.012,0.693 ± 0.035,0.123 ± 0.045,0.297 ± 0.012
3,After task_1,task_1,0.620 ± 0.035,0.287 ± 0.029,0.333 ± 0.006,0.370 ± 0.035
