step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.250 ± 0.000,0.370 ± 0.000,0.520 ± 0.000
1,After task_3,task_3,0.287 ± 0.012,0.185 ± 0.098,0.693 ± 0.035
2,After task_2,task_2,0.287 ± 0.029,0.235 ± 0.037,0.817 ± 0.012
3,After task_1,task_1,0.620 ± 0.035,0.255 ± 0.056,0.820 ± 0.010
