Step,Checkpoint,Current task,Current accuracy,Δ current vs base,Average over all tasks
0,Base,—,—,—,0.380 ± 0.000
1,After task_3,task_3,0.185 ± 0.098,-0.185 ± 0.098,0.388 ± 0.035
2,After task_2,task_2,0.817 ± 0.012,0.297 ± 0.012,0.446 ± 0.007
3,After task_1,task_1,0.620 ± 0.035,0.370 ± 0.035,0.565 ± 0.020
