step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,2.031415700912476,0.0,3,4.95022439956665,0.0,3,0.4413862228393554,0.0,3,1.96484375,0.0,3,9.849985122680664,0.0,3,0.21250005066394798,3.3993498887762956e-17,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_3,After task_3,3,48,1.8351445595423381,0.03138039673985489,3,5.018412431081136,0.26227872255576634,3,0.32947851220766705,0.054129191131434606,3,1.6627604166666667,0.06185926175879913,3,5.544788201649983,0.9525563227356302,3,0.125,0.0,3,0.12759477148453394,0.015320974256484966,3,0.3441404898961385,0.08834169717589571,3,0.011610480646292333,0.0026546826476310046,3,-0.1962711413701379,0.03138039673985489,3,0.06818803151448567,0.2622787225557664,3,-0.3020833333333333,0.06185926175879913,3,-4.305196921030681,0.9525563227356302,3,0.12759477148453394,0.015320974256484966,3,0.3441404898961385,0.08834169717589571,3
2,task_2,After task_2,3,48,1.7483575344085693,0.027405282111640738,3,5.188429832458496,0.1821729224263354,3,0.23145823180675507,0.06097934829887622,3,1.8914930423100789,0.08883161506272766,3,5.611457347869873,0.44134883147094023,3,0.125,0.0,3,0.16008124252160386,0.03857467136399504,3,0.4783029854297638,0.11222668225226512,3,0.012623272525767467,0.00592091163608095,3,-0.2830581665039067,0.027405282111640738,3,0.2382054328918457,0.1821729224263354,3,-0.07335070768992107,0.08883161506272766,3,-4.238527774810791,0.44134883147094023,3,0.16008124252160386,0.03857467136399504,3,0.4783029854297638,0.11222668225226512,3
3,task_1,After task_1,3,48,1.6396187941233318,0.06002048423626183,3,5.229268868764241,0.20502482204663783,3,0.11875768999258669,0.06039025195228213,3,2.2109375,0.18606128464644442,3,6.5239559809366865,0.5390985985457813,3,0.11250001192092894,0.021650614446956384,3,0.2755218297243118,0.0612894954504894,3,1.2105059425036113,0.34928794388782697,3,0.0183558423692981,0.007696669468016575,3,-0.3917969067891444,0.06002048423626183,3,0.2790444691975911,0.20502482204663783,3,0.24609375,0.18606128464644442,3,-3.326029141743978,0.5390985985457813,3,0.2755218297243118,0.0612894954504894,3,1.2105059425036113,0.34928794388782697,3
