seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper_321/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_3,48,1.822665333747864,5.239630699157715,0.2670429348945617,1.6731771230697632,6.343745708465576,0.125,0.1435325294733047,0.435045063495636,0.0144951287657022,outputs/qwen35_08b_paper_321/stability_seed_33/stability_scores.csv,After task_3,-0.20875036716461204,0.28940629959106445,-0.2916666269302368,-3.506239414215088,0.1435325294733047,0.435045063495636
33,2,task_2,48,1.7386900186538696,5.369685649871826,0.2329779863357544,1.8580728769302368,5.640624046325684,0.125,0.2036270946264267,0.5615381002426147,0.0194467958062887,outputs/qwen35_08b_paper_321/stability_seed_33/stability_scores.csv,After task_2,-0.2927256822586064,0.4194612503051758,-0.10677087306976318,-4.2093610763549805,0.2036270946264267,0.5615381002426147
33,3,task_1,48,1.5717692375183103,5.262516498565674,0.0526475459337234,2.42578125,7.009370803833008,0.125,0.3429665565490722,1.557767629623413,0.0272216629236936,outputs/qwen35_08b_paper_321/stability_seed_33/stability_scores.csv,After task_1,-0.4596464633941657,0.31229209899902344,0.4609375,-2.8406143188476562,0.3429665565490722,1.557767629623413
42,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper_321/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_3,48,1.8119235038757324,4.72867488861084,0.3581826686859131,1.71875,5.799995422363281,0.125,0.1129758432507515,0.2586067318916321,0.0092701343819499,outputs/qwen35_08b_paper_321/stability_seed_42/stability_scores.csv,After task_3,-0.2194921970367436,-0.22154951095581055,-0.24609375,-4.049989700317383,0.1129758432507515,0.2586067318916321
42,2,task_2,48,1.7270961999893188,5.0053534507751465,0.1697332113981247,1.9921875,6.03749942779541,0.125,0.1464215368032455,0.5227015018463135,0.0088415890932083,outputs/qwen35_08b_paper_321/stability_seed_42/stability_scores.csv,After task_2,-0.3043195009231572,0.055129051208496094,0.02734375,-3.812485694885254,0.1464215368032455,0.5227015018463135
42,3,task_1,48,1.6613048315048218,5.415637969970703,0.1326015889644622,2.1041667461395264,6.618749141693115,0.125,0.2232304364442825,0.859226405620575,0.013387544080615,outputs/qwen35_08b_paper_321/stability_seed_42/stability_scores.csv,After task_1,-0.37011086940765425,0.46541357040405273,0.13932299613952637,-3.231235980987549,0.2232304364442825,0.859226405620575
123,0,base,48,2.031415700912476,4.95022439956665,0.4413862228393554,1.96484375,9.849985122680664,0.212500050663948,0.0,0.0,0.0,outputs/qwen35_08b_paper_321/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_3,48,1.870844841003418,5.0869317054748535,0.3632099330425262,1.5963541269302368,4.490623474121094,0.125,0.1262759417295456,0.3387696743011474,0.0110661787912249,outputs/qwen35_08b_paper_321/stability_seed_123/stability_scores.csv,After task_3,-0.16057085990905806,0.13670730590820312,-0.3684896230697632,-5.35936164855957,0.1262759417295456,0.3387696743011474
123,2,task_2,48,1.7792863845825195,5.190250396728516,0.2916634976863861,1.82421875,5.156248569488525,0.125,0.1301950961351394,0.3506693542003631,0.0095814326778054,outputs/qwen35_08b_paper_321/stability_seed_123/stability_scores.csv,After task_2,-0.2521293163299565,0.24002599716186523,-0.140625,-4.693736553192139,0.1301950961351394,0.3506693542003631
123,3,task_1,48,1.6857823133468628,5.009652137756348,0.1710239350795745,2.1028645038604736,5.943747997283936,0.0875000357627868,0.2603684961795807,1.2145237922668457,0.0144583201035857,outputs/qwen35_08b_paper_321/stability_seed_123/stability_scores.csv,After task_1,-0.34563338756561324,0.059427738189697266,0.13802075386047363,-3.9062371253967276,0.2603684961795807,1.2145237922668457
