Step,Checkpoint,Current task,"a_k,k","a_k-1,k",Δ adapt,Δ vs base
1,After task_1,task_1,0.533 ± 0.076,0.250 ± 0.000,0.283 ± 0.076,0.283 ± 0.076
2,After task_2,task_2,0.800 ± 0.000,0.660 ± 0.035,0.140 ± 0.035,0.280 ± 0.000
3,After task_3,task_3,0.379 ± 0.056,0.490 ± 0.026,-0.111 ± 0.043,0.008 ± 0.056
