step,checkpoint,checkpoint_task,fomc,numgluecm,scienceqa
0,Base,base,0.25,0.3703703703703703,0.52
1,After task_1,task_1,0.5333333333333333,0.3786008230452674,0.66
2,After task_2,task_2,0.54,0.48971193415637854,0.8000000000000002
3,After task_3,task_3,0.5766666666666667,0.3786008230452674,0.8166666666666668
