step,checkpoint_task,checkpoint,current_task,next_task,n_seeds,op_mean,op_std,op_count,bwt_mean,bwt_std,bwt_count,forgetting_mean,forgetting_std,forgetting_count,fwt_mean,fwt_std,fwt_count,next_fwt_mean,next_fwt_std,next_fwt_count,avg_all_tasks_mean,avg_all_tasks_std,avg_all_tasks_count,current_acc_mean,current_acc_std,current_acc_count,current_base_acc_mean,current_base_acc_std,current_base_acc_count,current_prev_acc_mean,current_prev_acc_std,current_prev_acc_count,current_delta_vs_base_mean,current_delta_vs_base_std,current_delta_vs_base_count,adaptation_gain_mean,adaptation_gain_std,adaptation_gain_count,learning_accuracy_mean,learning_accuracy_std,learning_accuracy_count
0,base,Base,,task_1,3,,,0,,,0,,,0,0.0,0.0,3,0.0,0.0,3,0.38012345679012344,0.0,3,,,0,,,0,,,0,,,0,,,0,0.570644718792867,0.008831771732274086,3
1,task_1,After task_1,task_1,task_2,3,0.5333333333333333,0.07637626158259732,3,,,0,,,0,0.07411522633744858,0.011916191956633857,3,0.14,0.03464101615137758,3,0.5239780521262002,0.0291827390800327,3,0.5333333333333333,0.07637626158259732,3,0.25,0.0,3,0.25,0.0,3,0.2833333333333334,0.07637626158259732,3,0.2833333333333334,0.07637626158259732,3,0.570644718792867,0.008831771732274086,3
2,task_2,After task_2,task_2,task_3,3,0.6699999999999999,0.026457513110645866,3,0.006666666666666654,0.07505553499465131,3,-0.006666666666666654,0.07505553499465131,3,0.11934156378600826,0.025699580240322633,3,0.11934156378600826,0.025699580240322633,3,0.6099039780521262,0.0117295742193566,3,0.8000000000000002,1.3597399555105182e-16,3,0.52,0.0,3,0.66,0.03464101615137758,3,0.28,0.0,3,0.14,0.03464101615137758,3,0.570644718792867,0.008831771732274086,3
3,task_3,After task_3,task_3,,3,0.5906447187928668,0.012309572257396926,3,0.02999999999999996,0.022912878474779207,3,-0.02999999999999996,0.022912878474779207,3,,,0,,,0,0.5906447187928668,0.012309572257396926,3,0.3786008230452674,0.05566975003485054,3,0.3703703703703703,0.0,3,0.48971193415637854,0.025699580240322633,3,0.008230452674897118,0.05566975003485054,3,-0.11111111111111115,0.04276668660663891,3,0.570644718792867,0.008831771732274086,3
