step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.587 ± 0.000,2.103 ± 0.000,1.305 ± 0.000,2.581 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,2.222 ± 0.071,4.828 ± 0.494,0.412 ± 0.034,0.721 ± 0.025,2.778 ± 0.025,16.133 ± 0.224
2,After task_2,1.264 ± 0.035,3.999 ± 0.381,1.163 ± 0.216,3.731 ± 0.600,3.126 ± 0.006,16.921 ± 0.277
3,After task_1,1.397 ± 0.120,4.594 ± 0.761,0.833 ± 0.140,2.067 ± 0.676,3.170 ± 0.066,16.399 ± 0.572
