step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,0.635 ± 0.071,2.725 ± 0.494,-0.892 ± 0.034,-1.860 ± 0.025,2.778 ± 0.025
2,After task_2,-0.323 ± 0.035,1.896 ± 0.381,-0.141 ± 0.216,1.150 ± 0.600,3.126 ± 0.006
3,After task_1,-0.190 ± 0.120,2.491 ± 0.761,-0.471 ± 0.140,-0.515 ± 0.676,3.170 ± 0.066
