seed,step,checkpoint_task,num_reference_examples,entropy_mean,entropy_p95,entropy_p10,margin_mean,margin_p95,margin_p10,kl_to_base_mean,kl_to_base_p95,kl_to_base_p10,source_file,checkpoint,entropy_mean_delta_vs_base,entropy_p95_delta_vs_base,margin_mean_delta_vs_base,margin_p95_delta_vs_base,kl_to_base_mean_delta_vs_base,kl_to_base_p95_delta_vs_base
33,0,base,48,1.587157130241394,2.1030704975128174,0.5981124639511108,1.3046875,2.581249713897705,0.25,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
33,1,task_3,48,2.144315004348755,4.26591157913208,1.5169175863265991,0.4401041567325592,0.7062497138977051,0.125,2.8071117401123047,16.359699249267578,0.1095921397209167,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_3,0.5571578741073608,2.1628410816192627,-0.8645833432674408,-1.875,2.8071117401123047,16.359699249267578
33,2,task_2,48,1.2641957998275757,3.559429407119751,0.2929684221744537,1.0989583730697632,3.5,0.2499999850988388,3.123948097229004,17.238847732543945,0.2752702534198761,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_2,-0.32296133041381836,1.4563589096069336,-0.20572912693023682,0.9187502861022949,3.123948097229004,17.238847732543945
33,3,task_1,48,1.2664233446121216,3.748774766921997,0.4891533553600311,0.9635416865348816,2.5,0.2125000357627868,3.244215726852417,17.040721893310547,0.3901462852954864,outputs/llama32_1b_paper_321/stability_seed_33/stability_scores.csv,After task_1,-0.32073378562927246,1.6457042694091797,-0.3411458134651184,-0.08124971389770508,3.244215726852417,17.040721893310547
42,0,base,48,1.587157130241394,2.1030704975128174,0.5981124639511108,1.3046875,2.581249713897705,0.25,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
42,1,task_3,48,2.2393910884857178,5.028648853302002,1.544905662536621,0.421875,0.75,0.125,2.765634298324585,16.127723693847656,0.1067668572068214,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_3,0.6522339582443237,2.9255783557891846,-0.8828125,-1.831249713897705,2.765634298324585,16.127723693847656
42,2,task_2,48,1.29995858669281,4.22431755065918,0.2901326715946197,0.9869791865348816,3.2812485694885254,0.125,3.132524251937866,16.792036056518555,0.3117994964122772,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_2,-0.287198543548584,2.1212470531463623,-0.3177083134651184,0.6999988555908203,3.132524251937866,16.792036056518555
42,3,task_1,48,1.5027683973312378,5.224732398986816,0.680168628692627,0.6848958134651184,1.2874994277954102,0.125,3.1177570819854736,15.94139289855957,0.300473541021347,outputs/llama32_1b_paper_321/stability_seed_42/stability_scores.csv,After task_1,-0.08438873291015625,3.121661901473999,-0.6197916865348816,-1.293750286102295,3.1177570819854736,15.94139289855957
123,0,base,48,1.587157130241394,2.1030704975128174,0.5981124639511108,1.3046875,2.581249713897705,0.25,0.0,0.0,0.0,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,Base,0.0,0.0,0.0,0.0,0.0,0.0
123,1,task_3,48,2.2823524475097656,5.190709114074707,1.4789865016937256,0.375,0.7062497138977051,0.125,2.7609310150146484,15.91158676147461,0.11634062230587,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_3,0.6951953172683716,3.0876386165618896,-0.9296875,-1.875,2.7609310150146484,15.91158676147461
123,2,task_2,48,1.2289913892745972,4.212965965270996,0.1682342737913131,1.4036458730697632,4.41249942779541,0.2125000357627868,3.121998071670532,16.733068466186523,0.2962346971035003,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_2,-0.3581657409667969,2.1098954677581787,0.09895837306976318,1.831249713897705,3.121998071670532,16.733068466186523
123,3,task_1,48,1.4215279817581177,4.808750629425049,0.4796405434608459,0.8515625,2.41249942779541,0.125,3.149488687515259,16.21437644958496,0.3867418467998504,outputs/llama32_1b_paper_321/stability_seed_123/stability_scores.csv,After task_1,-0.16562914848327637,2.7056801319122314,-0.453125,-0.16875028610229492,3.149488687515259,16.21437644958496
