step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,1.061198592185974,0.0,3,1.5025477409362793,0.0,3,0.18565401434898368,3.3993498887762956e-17,3,1.6927083730697632,0.0,3,4.91249942779541,0.0,3,0.375,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_3,After task_3,3,48,1.2052065928777058,0.010580800148697297,3,2.0197189251581826,0.07862888346268344,3,0.6005569497744242,0.022357602832886146,3,0.71875,0.03782769695923407,3,2.9541660944620767,0.21472463091479976,3,0.041666666666666664,0.07216878364870323,3,3.2004231611887612,0.1195927088584029,3,17.4912535349528,0.23838726824074769,3,0.10043113678693766,0.010264373387020742,3,0.14400800069173206,0.010580800148697297,3,0.5171711842219036,0.07862888346268344,3,-0.9739583730697632,0.03782769695923407,3,-1.9583333333333333,0.21472463091479976,3,3.2004231611887612,0.1195927088584029,3,17.4912535349528,0.23838726824074769,3
2,task_2,After task_2,3,48,0.9480496446291605,0.040671020951076324,3,1.93742839495341,0.17004112296287113,3,0.2525485828518867,0.134783542938293,3,1.015625,0.14893920990760268,3,3.2604161898295083,0.726516295300639,3,0.11250001192092894,0.021650614446956384,3,3.018282175064087,0.04130309252536219,3,17.64097277323405,0.21389713621258905,3,0.0940344631671905,0.006155004591067305,3,-0.11314894755681337,0.040671020951076324,3,0.43488065401713055,0.17004112296287113,3,-0.6770833730697632,0.14893920990760268,3,-1.6520832379659016,0.7265162953006391,3,3.018282175064087,0.04130309252536219,3,17.64097277323405,0.21389713621258905,3
3,task_1,After task_1,3,48,0.8573693235715231,0.06353189305703406,3,1.9530024131139119,0.08565630678941007,3,0.21730882177750266,0.12619789262889858,3,1.5329861243565877,0.3821328260009481,3,3.9291664759318032,0.9502535027945785,3,0.195833350221316,0.06414502457504652,3,3.355309168497721,0.08085863158664795,3,17.383060455322266,0.3832639253804742,3,0.16280870636304215,0.02422803904696304,3,-0.20382926861445086,0.06353189305703406,3,0.45045467217763274,0.08565630678941007,3,-0.15972224871317545,0.3821328260009481,3,-0.9833329518636068,0.9502535027945785,3,3.355309168497721,0.08085863158664795,3,17.383060455322266,0.3832639253804742,3
