step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.061 ± 0.000,1.503 ± 0.000,1.693 ± 0.000,4.912 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,1.205 ± 0.011,2.020 ± 0.079,0.719 ± 0.038,2.954 ± 0.215,3.200 ± 0.120,17.491 ± 0.238
2,After task_2,0.948 ± 0.041,1.937 ± 0.170,1.016 ± 0.149,3.260 ± 0.727,3.018 ± 0.041,17.641 ± 0.214
3,After task_1,0.857 ± 0.064,1.953 ± 0.086,1.533 ± 0.382,3.929 ± 0.950,3.355 ± 0.081,17.383 ± 0.383
