step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,1.587157130241394,0.0,3,2.1030704975128174,0.0,3,0.5981124639511108,0.0,3,1.3046875,0.0,3,2.581249713897705,0.0,3,0.25,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_1,After task_1,3,48,0.8912886579831442,0.011946360688641421,3,1.070500334103902,0.027481212465580118,3,0.565477212270101,0.02712629974962144,3,0.8932291666666666,0.09635417364739261,3,2.831249713897705,0.04375028610229492,3,0.19583334028720856,0.064145030866618,3,0.48935626943906146,0.041869227925242225,3,0.9184873898824056,0.054994734919921,3,0.014648593651751633,0.0012005593615184258,3,-0.6958684722582499,0.011946360688641421,3,-1.0325701634089153,0.027481212465580118,3,-0.4114583333333333,0.09635417364739263,3,0.25,0.04375028610229492,3,0.48935626943906146,0.041869227925242225,3,0.9184873898824056,0.054994734919921,3
2,task_2,After task_2,3,48,0.6777308384577433,0.046385965526502225,3,1.0912166833877563,0.02089531851933291,3,0.18537996212641397,0.06318022127849768,3,1.5616319179534912,0.165407300005818,3,4.079166094462077,0.5590983102530878,3,0.15416666865348813,0.05051815199536798,3,0.6626584927241007,0.026376453759971025,3,1.1600542465845745,0.08775361653008765,3,0.07309713959693906,0.008831044694073262,3,-0.9094262917836508,0.046385965526502225,3,-1.011853814125061,0.02089531851933291,3,0.2569444179534912,0.165407300005818,3,1.4979163805643718,0.5590983102530878,3,0.6626584927241007,0.026376453759971025,3,1.1600542465845745,0.08775361653008765,3
3,task_3,After task_3,3,48,1.1539010206858318,0.054779226994452784,3,3.5175627072652182,0.23093991784624684,3,0.30960239966710407,0.06733966756596513,3,1.447048584620158,0.1523010615461962,3,3.6124982833862305,0.14617545143456195,3,0.1958333452542623,0.0938193980956596,3,3.800640344619751,0.12219630906676744,3,17.1673158009847,0.2149676391547,3,0.4626467128594716,0.015564179751636665,3,-0.4332561095555623,0.054779226994452784,3,1.4144922097524006,0.23093991784624682,3,0.14236108462015787,0.1523010615461962,3,1.0312485694885254,0.14617545143456195,3,3.800640344619751,0.12219630906676744,3,17.1673158009847,0.2149676391547,3
