step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,-0.696 ± 0.012,-1.033 ± 0.027,-0.411 ± 0.096,0.250 ± 0.044,0.489 ± 0.042
2,After task_2,-0.909 ± 0.046,-1.012 ± 0.021,0.257 ± 0.165,1.498 ± 0.559,0.663 ± 0.026
3,After task_3,-0.433 ± 0.055,1.414 ± 0.231,0.142 ± 0.152,1.031 ± 0.146,3.801 ± 0.122
