step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.587 ± 0.000,2.103 ± 0.000,1.305 ± 0.000,2.581 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,0.891 ± 0.012,1.071 ± 0.027,0.893 ± 0.096,2.831 ± 0.044,0.489 ± 0.042,0.918 ± 0.055
2,After task_2,0.678 ± 0.046,1.091 ± 0.021,1.562 ± 0.165,4.079 ± 0.559,0.663 ± 0.026,1.160 ± 0.088
3,After task_3,1.154 ± 0.055,3.518 ± 0.231,1.447 ± 0.152,3.612 ± 0.146,3.801 ± 0.122,17.167 ± 0.215
