step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,-0.240 ± 0.002,0.141 ± 0.029,-0.164 ± 0.031,0.291 ± 0.081,0.199 ± 0.013
2,After task_2,-0.281 ± 0.018,0.044 ± 0.066,0.073 ± 0.046,1.036 ± 0.359,0.258 ± 0.007
3,After task_3,0.003 ± 0.034,1.423 ± 0.090,0.115 ± 0.053,-0.103 ± 0.146,0.630 ± 0.110
