step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,1.884 ± 0.000,3.603 ± 0.000,2.210 ± 0.000,9.734 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,1.643 ± 0.002,3.744 ± 0.029,2.045 ± 0.031,10.025 ± 0.081,0.199 ± 0.013,0.875 ± 0.064
2,After task_2,1.603 ± 0.018,3.647 ± 0.066,2.283 ± 0.046,10.771 ± 0.359,0.258 ± 0.007,0.960 ± 0.051
3,After task_3,1.887 ± 0.034,5.026 ± 0.090,2.324 ± 0.053,9.631 ± 0.146,0.630 ± 0.110,1.751 ± 0.351
