Step,Checkpoint,Current task,"a_k,k","a_k-1,k",Δ adapt,Δ vs base
1,After task_3,task_3,0.214 ± 0.019,0.506 ± 0.000,-0.292 ± 0.019,-0.292 ± 0.019
2,After task_2,task_2,0.823 ± 0.012,0.590 ± 0.040,0.233 ± 0.042,0.303 ± 0.012
3,After task_1,task_1,0.560 ± 0.020,0.287 ± 0.055,0.273 ± 0.072,0.310 ± 0.020
