Step,Checkpoint,Current task,"a_k,k","a_k-1,k",Δ adapt,Δ vs base
1,After task_1,task_1,0.547 ± 0.012,0.220 ± 0.000,0.327 ± 0.012,0.327 ± 0.012
2,After task_2,task_2,0.663 ± 0.061,0.657 ± 0.025,0.007 ± 0.038,0.043 ± 0.061
3,After task_3,task_3,0.136 ± 0.021,0.342 ± 0.019,-0.206 ± 0.031,-0.235 ± 0.021
