step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,0.894 ± 0.000,2.379 ± 0.000,4.319 ± 0.000,10.362 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,1.259 ± 0.042,3.130 ± 0.472,2.834 ± 0.076,6.658 ± 0.052,0.703 ± 0.039,5.521 ± 0.464
2,After task_2,1.512 ± 0.120,4.463 ± 0.429,2.024 ± 0.137,6.572 ± 0.103,1.025 ± 0.164,5.538 ± 0.984
3,After task_1,1.550 ± 0.127,4.076 ± 0.353,1.839 ± 0.175,6.651 ± 0.115,1.671 ± 0.051,6.834 ± 0.287
