step,checkpoint_task,checkpoint,n_seeds,num_reference_examples,entropy_mean_mean,entropy_mean_std,entropy_mean_count,entropy_p95_mean,entropy_p95_std,entropy_p95_count,entropy_p10_mean,entropy_p10_std,entropy_p10_count,margin_mean_mean,margin_mean_std,margin_mean_count,margin_p95_mean,margin_p95_std,margin_p95_count,margin_p10_mean,margin_p10_std,margin_p10_count,kl_to_base_mean_mean,kl_to_base_mean_std,kl_to_base_mean_count,kl_to_base_p95_mean,kl_to_base_p95_std,kl_to_base_p95_count,kl_to_base_p10_mean,kl_to_base_p10_std,kl_to_base_p10_count,entropy_mean_delta_vs_base_mean,entropy_mean_delta_vs_base_std,entropy_mean_delta_vs_base_count,entropy_p95_delta_vs_base_mean,entropy_p95_delta_vs_base_std,entropy_p95_delta_vs_base_count,margin_mean_delta_vs_base_mean,margin_mean_delta_vs_base_std,margin_mean_delta_vs_base_count,margin_p95_delta_vs_base_mean,margin_p95_delta_vs_base_std,margin_p95_delta_vs_base_count,kl_to_base_mean_delta_vs_base_mean,kl_to_base_mean_delta_vs_base_std,kl_to_base_mean_delta_vs_base_count,kl_to_base_p95_delta_vs_base_mean,kl_to_base_p95_delta_vs_base_std,kl_to_base_p95_delta_vs_base_count
0,base,Base,3,48,0.118277259171009,0.0,3,0.7300074696540833,0.0,3,0.0001515443145763,0.0,3,8.317708015441895,0.0,3,13.57499885559082,0.0,3,1.9250000715255735,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1,task_3,After task_3,3,48,0.5588147640228271,0.040896354322339595,3,2.2703913847605386,0.031166582913724664,3,0.09036372850338616,0.021949389053553012,3,3.770399252573649,0.17573941511982286,3,6.1927080154418945,0.44520378101838065,3,0.38541669646898896,0.0674112108990343,3,4.318308353424072,0.1622361691563927,3,21.130664189656574,0.29394882712536446,3,0.07085029532512027,0.01780526338912903,3,0.44053750485181814,0.040896354322339595,3,1.5403839151064556,0.031166582913724664,3,-4.547308762868245,0.17573941511982286,3,-7.382290840148926,0.44520378101838065,3,4.318308353424072,0.1622361691563927,3,21.130664189656574,0.29394882712536446,3
2,task_2,After task_2,3,48,0.9545363585154215,0.12535614598205874,3,2.3828264077504477,0.07152648929341122,3,0.4510865906874339,0.15644291942191565,3,1.4253472487131755,0.3067237788108314,3,2.718749523162842,0.9336949037476356,3,0.1541666785875956,0.05051816920174684,3,5.410131136576335,0.4124846935513995,3,21.104373296101887,0.1562718035380583,3,0.7797613044579824,0.446187917773723,3,0.8362590993444127,0.12535614598205874,3,1.6528189380963643,0.07152648929341122,3,-6.892360766728719,0.3067237788108314,3,-10.856249332427979,0.9336949037476354,3,5.410131136576335,0.4124846935513995,3,21.104373296101887,0.1562718035380583,3
3,task_1,After task_1,3,48,1.1741440693537395,0.1261109086324402,3,2.3751959800720215,0.13779232945197042,3,0.7494993607203165,0.17276533178834358,3,0.6592881878217062,0.2025161667141935,3,1.7604161898295085,0.5223641514957652,3,0.11250001192092894,0.1068000635593402,3,7.44814666112264,0.07987355493650347,3,20.12763786315918,0.8996549819794971,3,2.2286556164423623,0.741414321997676,3,1.0558668101827304,0.12611090863244015,3,1.6451885104179385,0.13779232945197042,3,-7.658419827620189,0.20251616671419354,3,-11.814582665761312,0.5223641514957652,3,7.44814666112264,0.07987355493650347,3,20.12763786315918,0.8996549819794971,3
