step,checkpoint,entropy_mean,entropy_p95,margin_mean,margin_p95,kl_to_base_mean,kl_to_base_p95
0,Base,0.118 ± 0.000,0.730 ± 0.000,8.318 ± 0.000,13.575 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,0.559 ± 0.041,2.270 ± 0.031,3.770 ± 0.176,6.193 ± 0.445,4.318 ± 0.162,21.131 ± 0.294
2,After task_2,0.955 ± 0.125,2.383 ± 0.072,1.425 ± 0.307,2.719 ± 0.934,5.410 ± 0.412,21.104 ± 0.156
3,After task_1,1.174 ± 0.126,2.375 ± 0.138,0.659 ± 0.203,1.760 ± 0.522,7.448 ± 0.080,20.128 ± 0.900
