step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_3,0.441 ± 0.041,1.540 ± 0.031,-4.547 ± 0.176,-7.382 ± 0.445,4.318 ± 0.162
2,After task_2,0.836 ± 0.125,1.653 ± 0.072,-6.892 ± 0.307,-10.856 ± 0.934,5.410 ± 0.412
3,After task_1,1.056 ± 0.126,1.645 ± 0.138,-7.658 ± 0.203,-11.815 ± 0.522,7.448 ± 0.080
