step,checkpoint_task,checkpoint,current_task,next_task,n_seeds,op_mean,op_std,op_count,bwt_mean,bwt_std,bwt_count,forgetting_mean,forgetting_std,forgetting_count,fwt_mean,fwt_std,fwt_count,next_fwt_mean,next_fwt_std,next_fwt_count,avg_all_tasks_mean,avg_all_tasks_std,avg_all_tasks_count,current_acc_mean,current_acc_std,current_acc_count,current_base_acc_mean,current_base_acc_std,current_base_acc_count,current_prev_acc_mean,current_prev_acc_std,current_prev_acc_count,current_delta_vs_base_mean,current_delta_vs_base_std,current_delta_vs_base_count,adaptation_gain_mean,adaptation_gain_std,adaptation_gain_count,learning_accuracy_mean,learning_accuracy_std,learning_accuracy_count
0,base,Base,,task_3,3,,,0,,,0,,,0,0.0,0.0,3,0.0,0.0,3,0.40345679012345675,0.0,3,,,0,,,0,,,0,,,0,,,0,0.4182167352537723,0.04354960186045514,3
1,task_3,After task_3,task_3,task_2,3,0.09465020576131682,0.025699580240322612,3,,,0,,,0,0.01666666666666668,0.002886751345948131,3,0.03333333333333336,0.005773502691896262,3,0.32266117969821667,0.0104449222191855,3,0.09465020576131682,0.025699580240322612,3,0.3703703703703703,0.0,3,0.3703703703703703,0.0,3,-0.27572016460905346,0.02569958024032261,3,-0.27572016460905346,0.02569958024032261,3,0.4182167352537723,0.04354960186045514,3
2,task_2,After task_2,task_2,task_1,3,0.38771604938271603,0.023123773174821043,3,0.004115226337448601,0.03106927751140227,3,-0.004115226337448601,0.03106927751140227,3,0.0,0.0,3,0.0,0.0,3,0.33181069958847736,0.01541584878321403,3,0.6766666666666667,0.047258156262526066,3,0.62,0.0,3,0.6533333333333333,0.005773502691896262,3,0.05666666666666668,0.047258156262526066,3,0.023333333333333317,0.041633319989322626,3,0.4182167352537723,0.04354960186045514,3
3,task_1,After task_1,task_1,,3,0.4068449931412894,0.029469225546946348,3,-0.017057613168724298,0.027535315848177783,3,0.017057613168724298,0.027535315848177783,3,,,0,,,0,0.4068449931412894,0.029469225546946348,3,0.48333333333333334,0.060277137733417106,3,0.22,0.0,3,0.22,0.0,3,0.26333333333333336,0.06027713773341712,3,0.26333333333333336,0.06027713773341712,3,0.4182167352537723,0.04354960186045514,3
