step,checkpoint,delta_entropy_mean,delta_entropy_p95,delta_margin_mean,delta_margin_p95,kl_to_base_mean
0,Base,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
1,After task_1,-0.134 ± 0.044,-0.005 ± 0.054,-0.115 ± 0.152,-3.348 ± 0.308,0.156 ± 0.077
2,After task_2,-0.221 ± 0.023,-0.202 ± 0.062,-0.046 ± 0.081,-3.683 ± 0.879,0.112 ± 0.030
3,After task_3,-0.212 ± 0.011,-0.021 ± 0.070,-0.187 ± 0.077,-4.109 ± 0.099,0.300 ± 0.117
